smiles,new_label
CC(C)C(=O)c1c(C(C)C)nn2ccccc12,0
CCCNC(C)(C)COC(=O)c1ccccc1,0
CCC1(c2cccc(O)c2)CCCCN(C)C1,0
CN1CCN2c3ncccc3Cc3ccccc3C2C1,0
CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,0
COc1ccc2cc(CCC(C)=O)ccc2c1,0
C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,0
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,0
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0
CC12CC(=CO)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,0
O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,0
CCOC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,0
CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,0
Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,0
CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,0
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,0
O=C1OC2(c3cc(Br)c([O-])cc3Oc3c2cc(Br)c([O-])c3[Hg])c2ccccc21,0
CC12C=CC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,0
