smiles, isactive
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,0
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0
O=C1c2ccccc2C(=O)C1c1ccc(Br)cc1,0
CC12CC3CC(C)(C1)CC(N)(C3)C2,0
COC(=O)CCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0
CC(=O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,0
CC(COc1ccccc1)N(CCCl)Cc1ccccc1,0
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC21C,0
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)=C(O)C3(O)C(=O)C1=C2O,0
CC1=CC(=O)C2=C(C)CCC3C(C)C(=O)OC3C12,0
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,0
COC(=O)CC1C(C)(C)C(O)C2CC3=C4CC(O)OC(c5ccoc5)C4(C)CCC3C1(C)C2=O,0
CC1=CC(=O)C(C(C)C)=CC1=O,0
COc1cc(O)c(C(C)=O)c(O)c1,0
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,0
O=C1C=CC2=C3c4cc(O)c(O)cc4CC3(O)COC2=C1,0
CCOC(=O)c1cncn1C(C)c1ccccc1,0
C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(=O)C(C)(C)C(C(O)C(=O)OC)C12C,0
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,0
CC(=O)C1CCC2C3CC=C4CC(OS(=O)(=O)[O-])CCC4(C)C3CCC12C,0
CCCCOc1ccc(CC(=O)NO)cc1,0
C=CCc1ccc2c(c1)OCO2,0
CCCC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,0
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,0
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0
CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,0
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,0
CCC1(O)CC(O)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC,0
Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1,0
CC12CCC(=O)C=C1CCc1ccc(O)cc12,0
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,0
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,0
CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,0
COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(N)CC2,0
O=c1cccc2ccc(O)c(O)c2c1O,0
OCC(O)CN1CCN(c2ccccc2)CC1,0
CC1=CC(=O)c2c(O)cccc2C1=O,0
COc1cc2c(cc1OC)C(C)NCC2,0
Cc1cc(=O)oc2cc(O)c(O)cc12,0
C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,0
Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1,0
c1ccc(CC2=NCCN2)cc1,0
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,0
NCCCNCCCCNCCCN,0
CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CN)=CCC3N)C2O)OCC1(C)O,0
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,0
CC(=O)c1c(O)cc(O)cc1O,0
CC1NCCc2cc(O)c(O)cc21,0
CC1(C)OC(=O)C(OCC2CC2)=C1c1ccc(S(C)(=O)=O)cc1,0
CC(C)(S)C(N)C(=O)O,0
Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,0
CC(=O)OC1CCC23CC1(C)CCC2C(C)(C)CC3OC(C)=O,0
CCCCc1ccc(C(=O)O)nc1,0
CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,0
Cn1c(=O)c2[nH]c(C3CCCC3)nc2n(C)c1=O,0
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,0
CC1(C)CC2C1CCC1(C)OC2(C)CCC1O,0
CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(=O)C(C)(O)CC)CCC3(C)C5C(OC(C)=O)C(OC(C)=O)C4C21O,0
Cc1cccc(C(=O)O)c1O,0
CC(=O)N1CCCC1C(=O)O,0
COc1cc2c(cc1-c1cc3cc4ccoc4cc3oc1=O)OCO2,0
C=CC(C1=CC(=O)C(OC)=C(OC)C1=O)c1ccccc1,0
CC1CCC2(NC1)OC1CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C,0
COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],0
OCc1c[nH]c2ccccc12,0
COc1cc2ccc(=O)oc2c2ccoc12,0
CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,0
CN1CCCC1c1cccnc1,0
CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,0
NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,0
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,0
COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CSC21,0
Cc1cccc(C)c1OCC(C)N,0
CNCc1ccccc1,0
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,0
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,0
NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N,0
CC12CCC(CC1)C(C)(C)O2,0
CC(C)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,0
CC(CCC(=O)[O-])C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C,0
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,0
Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,0
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,0
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,0
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,0
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)[O-],0
CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,0
COc1ccc2oc(-c3ccccc3)c(OC)c(=O)c2c1,0
NCCCS(=O)(=O)O,0
CCc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,0
O=C(O)c1ccc2cc(O)c(O)c(O)c2c(=O)c1O,0
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,0
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0
